id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
2818;Quiet Garden View Room & Super Fast WiFi;3159;Daniel;;Oostelijk Havengebied - Indische Buurt;5236575;494142;Private room;59;3;262;28.06.19;02. Sep;1;107
20168;Studio with private bathroom in the centre 1;59484;Alexander;;Centrum-Oost;5236509;489354;Private room;80;1;279;08.07.19;Feb/45;2;140
25428;Lovely apt in City Centre (w.lift) near Jordaan;56142;Joan;;Centrum-West;5237297;488339;Entire home/apt;125;14;3;11.05.19;0.17;2;106
27886;Romantic, stylish B&B houseboat in canal district;97647;Flip;;Centrum-West;5238673;489208;Private room;150;2;195;01.07.19;Feb/14;1;74
28871;Comfortable double room;124245;Edwin;;Centrum-West;5236719;489092;Private room;75;2;277;02.07.19;Feb/56;3;138
29051;Comfortable single room;124245;Edwin;;Centrum-West;5236773;489151;Private room;55;2;428;29.06.19;Apr/23;3;173
31080;2-story apartment + rooftop terrace;133488;Nienke;;Zuid;5235132;484838;Entire home/apt;219;3;32;16.10.17;0.33;1;0
38266;Nice and quiet place in the Jordaan;164204;Julian;;Centrum-West;5237565;487969;Entire home/apt;145;3;199;19.05.19;Jan/82;1;131
41125;Amsterdam Center Entire Apartment;178515;Fatih;;Centrum-West;5237891;488321;Entire home/apt;180;4;85;23.06.19;0.81;1;0
42970;Comfortable room@PERFECT location + 2 bikes;187580;Micha;;Centrum-West;5236781;489001;Private room;159;3;450;01.07.19;Apr/18;2;110
43109;Oasis in the middle of Amsterdam;188098;Aukje;;Centrum-West;5237537;488932;Entire home/apt;210;13;690;06.07.19;10. Feb;1;0
43980;View into park / museum district (long/short stay);65041;Ym;;Zuid;5235746;486124;Entire home/apt;100;30;61;18.02.18;0.58;1;182
44391;Amsterdam Centre, 3-room Apartment;194779;Jan;;Centrum-Oost;5237017;491438;Entire home/apt;240;4;35;12.05.19;0.33;1;1
46386;Cozy loft in central Amsterdam;207342;Joost;;De Pijp - Rivierenbuurt;5235247;490825;Entire home/apt;150;3;3;03.01.18;0.03;1;0
47061;Charming apartment in old centre;211696;Ivar;;De Baarsjes - Oud-West;5236799;487447;Entire home/apt;140;2;182;19.06.19;Jan/69;1;37
48076;Amsterdam Central and lot of space;219080;Franklin;;Centrum-West;5238042;489453;Entire home/apt;350;5;182;29.06.19;Jan/92;2;146
49552;Multatuli Luxury Guest Suite in top location;225987;Joanna & MP;;Centrum-West;5237925;489023;Entire home/apt;220;3;327;30.06.19;03. Sep;1;242
50518;Perfect central Amsterdam apartment;231806;Nikki;;Westerpark;5238201;487865;Entire home/apt;125;1;97;20.06.19;Jan/19;1;0
50523;B & B de 9 Straatjes (city center);231946;Raymond;;Centrum-West;5236841;488413;Private room;115;2;249;24.06.19;Feb/40;1;223
